DEPARTAMENTO_PRESTACION,MUNICIPIO_PRESTACION,SERVICIO,ESTADO,NOMBRE,NIT,DEPARTAMENTO_DOMICILIO,MUNICIPIO_DOMICILIO,DIRECCION,TELEFONO,EMAIL,TIPO_INSCRIPCION,REPRESENTANTE_LEGAL,TIPO_PRESTADOR,CLASIFICACION
AMAZONAS,PUERTO NARINO,ALCANTARILLADO,OPERATIVA,MUNICIPIO DE PUERTO NARIÑO,,AMAZONAS,PUERTO NARINO,CALLE 5 CON CRA 6 ESQUINA,5927323,alcaldiapuertonarino@hotmail.com,Registro por la ESP,NELSO RUIZ AHUE,MUNICIPIO (PRESTACIÓN DIRECTA),HASTA 2500 SUSCRIPTORES
ANTIOQUIA,ABEJORRAL,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA LOMA ALTA ABEJORRAL,,ANTIOQUIA,ABEJORRAL,PALACIO MUNICIPAL,3104435,asoabejorral@gmail.com,Registro por la ESP,LUIS ALBERTO FLOREZ GIRALDO,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,ABEJORRAL,ASEO,OPERATIVA,EMPRESAS PUBLICAS DE ABEJORRAL E.P.A. E.S.P.,,ANTIOQUIA,ABEJORRAL,CLLE. 50  No. 52 - 26,8647272,gerenciaepaesp@edatel.net.co,Registro por la ESP,NICOLAS EDUARDO ALVAREZ OSORIO,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO,MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,ABEJORRAL,ACUEDUCTO,OPERATIVA,EMPRESAS PUBLICAS DE ABEJORRAL E.P.A. E.S.P.,,ANTIOQUIA,ABEJORRAL,CLLE. 50  No. 52 - 26,8647272,gerenciaepaesp@edatel.net.co,Registro por la ESP,NICOLAS EDUARDO ALVAREZ OSORIO,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO,MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,ABEJORRAL,ALCANTARILLADO,OPERATIVA,EMPRESAS PUBLICAS DE ABEJORRAL E.P.A. E.S.P.,,ANTIOQUIA,ABEJORRAL,CLLE. 50  No. 52 - 26,8647272,gerenciaepaesp@edatel.net.co,Registro por la ESP,NICOLAS EDUARDO ALVAREZ OSORIO,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO,MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,ABEJORRAL,ACUEDUCTO,OPERATIVA,ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DE PANTANILLO ,,ANTIOQUIA,ABEJORRAL,CARRERA 50 N° 50 -06 EDIFICIO ESTEBAN JARAMILLO PLAZA PRINCIPAL,3128881,gloriae1969@hotmail.com,Registro por la ESP,JOSE MARIO VELASQUEZ MARTINEZ,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,ABRIAQUI,ASEO,OPERATIVA,UNIDAD DE SERVICIOS PUBLICOS DE ABRIAQUI,,ANTIOQUIA,ABRIAQUI,Carrera 11 No. 11-07,8520024,abriaqui97@yahoo.es,Registro por la ESP,EDGAR HERNADO GOMEZ BEDOYA,MUNICIPIO (PRESTACIÓN DIRECTA),HASTA 2500 SUSCRIPTORES
ANTIOQUIA,ABRIAQUI,ACUEDUCTO,OPERATIVA,UNIDAD DE SERVICIOS PUBLICOS DE ABRIAQUI,,ANTIOQUIA,ABRIAQUI,Carrera 11 No. 11-07,8520024,abriaqui97@yahoo.es,Registro por la ESP,EDGAR HERNADO GOMEZ BEDOYA,MUNICIPIO (PRESTACIÓN DIRECTA),HASTA 2500 SUSCRIPTORES
ANTIOQUIA,ABRIAQUI,ALCANTARILLADO,OPERATIVA,UNIDAD DE SERVICIOS PUBLICOS DE ABRIAQUI,,ANTIOQUIA,ABRIAQUI,Carrera 11 No. 11-07,8520024,abriaqui97@yahoo.es,Registro por la ESP,EDGAR HERNADO GOMEZ BEDOYA,MUNICIPIO (PRESTACIÓN DIRECTA),HASTA 2500 SUSCRIPTORES
ANTIOQUIA,ALEJANDRIA,ALCANTARILLADO,OPERATIVA,UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS MUNICIPIO DE ALEJANDRIA,,ANTIOQUIA,ALEJANDRIA,Calle 20 No 19 - 36,8660016,servipublicos@alejandria-antioquia.gov.co,Registro por la ESP,UBER ARBEY AGUILAR CARMONA,MUNICIPIO (PRESTACIÓN DIRECTA),HASTA 2500 SUSCRIPTORES
ANTIOQUIA,ALEJANDRIA,ASEO,OPERATIVA,CORPORACIÓN DE RECICLADORES DE ANTIOQUIA,,ANTIOQUIA,MARINILLA,CARRERA 30A 20-80,5485698,ciclototalesp@hotmail.com,Registro por la ESP,SANTIAGO ALONSO ZULUAGA JARAMILLO,ORGANIZACION AUTORIZADA,MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,ALEJANDRIA,ACUEDUCTO,OPERATIVA,UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS MUNICIPIO DE ALEJANDRIA,,ANTIOQUIA,ALEJANDRIA,Calle 20 No 19 - 36,8660016,servipublicos@alejandria-antioquia.gov.co,Registro por la ESP,UBER ARBEY AGUILAR CARMONA,MUNICIPIO (PRESTACIÓN DIRECTA),HASTA 2500 SUSCRIPTORES
ANTIOQUIA,ALEJANDRIA,ASEO,OPERATIVA,UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS MUNICIPIO DE ALEJANDRIA,,ANTIOQUIA,ALEJANDRIA,Calle 20 No 19 - 36,8660016,servipublicos@alejandria-antioquia.gov.co,Registro por la ESP,UBER ARBEY AGUILAR CARMONA,MUNICIPIO (PRESTACIÓN DIRECTA),HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ASEO,OPERATIVA,EMPRESAS PUBLICAS DE AMAGA  S.A.   E.S.P.,,ANTIOQUIA,AMAGA,Calle 51 No  50 - 46,8471375,gerencia@epama.com.co,Registro por la ESP,JILMILLER ARLEN ATEHORTUA CARMONA,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS EL ACUEDUCTO DE TRAVESIAS SECTOR CARRETERA EL MANGAL-23056,,ANTIOQUIA,AMAGA,calle 138 sur # 49-33 apto 102,3035070,autelmangal@gmail.com,Registro por la ESP,DORA AMANDA HERRERA MESA,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ACUEDUCTO,OPERATIVA,"ASOCIACION DE USUARIOS DEL ACUEDUEDUCTO MULTIVEREDAL  ANGELOPOLIS, AMAGA Y TITIRIBI",,ANTIOQUIA,ANGELOPOLIS,CALLE 11 LOS ALPES,8421943,acuedcutomultiveredalangelopolis@hotmail.com,Registro por la ESP,WILLIAM DE JESUS CARMONA VILLA,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE MAL ABRIGO PARTE ALTA,,ANTIOQUIA,AMAGA,calle 47 sucre 49-60,8472463,asousuariosmalabrigoalta@hotmail.com,Registro por la ESP,JAIME ALBERTO RAMIREZ RICO,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ACUEDUCTO,OPERATIVA,ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO MALABRIGO PARTE BAJA,,ANTIOQUIA,AMAGA,VEREDA MALABRIGO PARTE BAJA,3619507,malabrigoamaga@gmail.com,Registro por la ESP,HECTOR DE JESUS MERINO MOLINA,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS DEL ACUEDUCTO LOS ALJIBES,,ANTIOQUIA,AMAGA,CARRERA 51 Nº46-30,8472346,jeglomar@gmail.com,Registro por la ESP,MARIO DE JESUS CANO  HOLGUIN,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ASEO,OPERATIVA,FUNDACION CODESARROLLO,,ANTIOQUIA,SABANETA,kilometro 1 variante a caldas,3091574,cmedina@codesarrollo.org.co,Registro por la ESP,JUANA  PEREZ MARTINEZ,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS DEL ACUEDUCTO LA CABUYALA,,ANTIOQUIA,AMAGA,AMAGA - BARRIO LOS ALVAREZ,8244986,acueductolacabuyala@hotmail.com,Registro por la ESP,DANIBIA DEL ROCIO OSSA ALVAREZ,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS DEL ACUEDUCTO VEREDA PUEBLITO DE LOS SANCHEZ,,ANTIOQUIA,AMAGA,VDA PUEBLITO DE LOS SANCHEZ,4713702,lucianaecheverry@gmail.com,Registro por la ESP,WILLIAM DE JESÚS VÉLEZ CORTEZ,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ALCANTARILLADO,OPERATIVA,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y/O ALCANTARILLADO DE  CAMILO CE,,ANTIOQUIA,AMAGA,CALLE 52 No. 47-28 OFC 815,8470369,abogar1234@hotmail.com,Registro por la ESP,JESUS GUSTAVO VANEGAS TEJADA ,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ACUEDUCTO,OPERATIVA,"ASOCIACION DE USUARIOS ACUEDUTO VEREDA LA COMUNIDAD, ESP MUNICIPIO DE AMAGA",,ANTIOQUIA,AMAGA,CENTRO POBLADO CAMILOCE SECTOR LA COMUNIDAD,8472158,asousuarioslacomunidad@hotmail.com,Registro por la ESP,MARCO JULIO USMA  TORRES,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE PASONIVEL,,ANTIOQUIA,AMAGA,VDA PASONIVEL,3386539,asopasonivel@hotmail.com,Registro por la ESP,DORALBA QUIROS GRANADOS,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS DEL ACUEDUCTO VEREDA YARUMAL,,ANTIOQUIA,AMAGA,VEREDA YARUMAL,8472861,acueductoyarumal@hotmaill.com,Registro por la ESP,LUIS ALFONSO SOTO ,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ACUEDUCTO,OPERATIVA,EMPRESAS PUBLICAS DE AMAGA  S.A.   E.S.P.,,ANTIOQUIA,AMAGA,Calle 51 No  50 - 46,8471375,gerencia@epama.com.co,Registro por la ESP,JILMILLER ARLEN ATEHORTUA CARMONA,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA EL MORRO,,ANTIOQUIA,AMAGA,VEREDA EL MORRO,8472592,acueductomorro@hotmail.com,Registro por la ESP,ALICIA DEL SOCORRO GRANADOS OROZCO,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ACUEDUCTO,OPERATIVA,"ASOCIACION DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL CAMILOCE, EL MORRO Y LA MANI, MUNICIPIO DE AMAGA, ANTIOQUIA",,ANTIOQUIA,AMAGA,"CAMILO CE, SECTOR LA POLKA",8471775,acueductocamiloce@hotmail.com,Registro por la ESP,DIANA CRISTINA BOLIVAR GIRALDO,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA MANI DE LAS CASAS,,ANTIOQUIA,AMAGA,VEREDA MANI DE LAS CASAS ,8470252,acueductomanidelascasas@hotmail.com,Registro por la ESP,JULIA EDITH ROMERO  CORTES,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS DEL ACUEDUCTO DEL CENTRO POBLADO LA CLARITA,,ANTIOQUIA,AMAGA,LA CLARITA,8470082,acueductolaclarita@hotmail.es,Registro por la ESP,CENED CECILIA MARTINEZ BUITRAGO,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ACUEDUCTO,OPERATIVA,JUNTA ADMINISTRADORA DEL ACUEDUCTO LA FLORIDA,,ANTIOQUIA,AMAGA,VEREDA LA CLARITA SECTOR LA FLORIDA,8421561,acueductolaflorida@gmail.com,Registro por la ESP,CARLOS ALBERTO ATEHORTUA GOMEZ,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ALCANTARILLADO,OPERATIVA,EMPRESAS PUBLICAS DE AMAGA  S.A.   E.S.P.,,ANTIOQUIA,AMAGA,Calle 51 No  50 - 46,8471375,gerencia@epama.com.co,Registro por la ESP,JILMILLER ARLEN ATEHORTUA CARMONA,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE CALLE NUEVA,,ANTIOQUIA,AMAGA,VEREDA CALLE NUEVA,8470037,acuecallenueva@latinmail.com.co,Registro por la ESP,HUMBERTO GARZON ,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS DEL ACUEDUCTO VEREDA PUEBLITO DE SAN JOSE,,ANTIOQUIA,AMAGA,VEREDA PUEBLITO SAN JOSE,8422668,pueblitojs@hotmail.com,Registro por la ESP,JAIRO ANTONIO TABORDA BERRIO,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE PIEDECUESTA,,ANTIOQUIA,AMAGA,VEREDA PIEDECUESTA,8470252,acueductopiedecuesta@gmail.com,Registro por la ESP,ALVARO DE JESUS FORONDA FRANCO,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ASEO,OPERATIVA,EMPRESAS VARIAS DE MEDELLIN  S.A. E.S. P.,,ANTIOQUIA,MEDELLIN,CARRERA 58 No 42-125,3807946,contacto@emvarias.com.co,Registro por la ESP,JORGE LENIN URREGO ANGEL,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA FERRERIA,,ANTIOQUIA,AMAGA,VEREDA LA FERRERIA,8473695,acueductoferreria@hotmail.com,Registro por la ESP,CESAR AUGUSTO CORREA RUIZ,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ACUEDUCTO,OPERATIVA,ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO NARANGITOS,,ANTIOQUIA,AMAGA,VEREDA TRAVESIAS SECTOR NARANJITOS AMAGÁ,8472122,asousuariosnaranjitos@hotmail.com,Registro por la ESP,DIOSELINA RENDON LOPEZ,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ACUEDUCTO,EN PROCESO DE LIQUIDACION,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LOS ALVARES,,ANTIOQUIA,AMAGA,VEREDA EL CEDRO SECTOR LOS ALVAREZ,8475132,acueductobarriolosalvares2@hotmail.com,Registro por la ESP,DANIBIA DEL ROCIO OSSA ALVAREZ,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y/O ALCANTARILLADO DE  CAMILO CE,,ANTIOQUIA,AMAGA,CALLE 52 No. 47-28 OFC 815,8470369,abogar1234@hotmail.com,Registro por la ESP,JESUS GUSTAVO VANEGAS TEJADA ,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE MINAS  AMAGA,,ANTIOQUIA,AMAGA,CENTRO POBLADO MINAS PARQUE PRINCIPAL,8478285,acueductodeminas@hotmail.com,Registro por la ESP,GILDARDO DE JESUS ROJAS CARMONA,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMAGA,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS DE ACUEDUCTO LA ESPERANZA,,ANTIOQUIA,AMAGA,"VEREDA EL CEDRO, SECTOR LAS FALDAS",8472915,vanegaspedropablo@yahoo.es,Registro por la ESP,PEDRO PABLO OSSA VANEGAS,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,AMALFI,ASEO,OPERATIVA,EMPRESAS VARIAS DE MEDELLIN  S.A. E.S. P.,,ANTIOQUIA,MEDELLIN,CARRERA 58 No 42-125,3807946,contacto@emvarias.com.co,Registro por la ESP,JORGE LENIN URREGO ANGEL,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,AMALFI,ALCANTARILLADO,OPERATIVA,ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.,,ANTIOQUIA,MEDELLIN,Calle 33A No  78A  -  56,4161177,aassa@aassa.com.co,Registro por la ESP,NELSON DE JESUS URIBE ARANGO,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,AMALFI,ACUEDUCTO,OPERATIVA,ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.,,ANTIOQUIA,MEDELLIN,Calle 33A No  78A  -  56,4161177,aassa@aassa.com.co,Registro por la ESP,NELSON DE JESUS URIBE ARANGO,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,AMALFI,ASEO,OPERATIVA,ASESORIAS Y SERVICIOS E.S.P. S.A.,,ANTIOQUIA,AMALFI,CARRERA 21 PLAZA DE MERCADO PISO 2,8300747,aser@aserservicios.com,Registro por la ESP,LUIS FERNANDO JIMENEZ JIMENEZ,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,ANDES,ASEO,OPERATIVA,EMPRESA DE SERVICIOS PUBLICOS DE ANDES S.A E.S.P,,ANTIOQUIA,ANDES,Calle 51 No 53-03,8418447,gerente.eeppa@gmail.com,Registro por la ESP,RAUL ARTURO ECHEVERRI DELGADO,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,ANDES,ASEO,OPERATIVA,EMPRESAS PUBLICAS DE ANDES E.S.P,,ANTIOQUIA,ANDES,Calle 51 # 53-03,8418447,gerencia.eeppa@yahoo.com,Registro por la ESP,RUBEN DARIO POSADA  POSADA,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO,MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,ANDES,ALCANTARILLADO,OPERATIVA,EMPRESA DE SERVICIOS PUBLICOS DE ANDES S.A E.S.P,,ANTIOQUIA,ANDES,Calle 51 No 53-03,8418447,gerente.eeppa@gmail.com,Registro por la ESP,RAUL ARTURO ECHEVERRI DELGADO,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,ANDES,ACUEDUCTO,OPERATIVA,EMPRESA DE SERVICIOS PUBLICOS DE ANDES S.A E.S.P,,ANTIOQUIA,ANDES,Calle 51 No 53-03,8418447,gerente.eeppa@gmail.com,Registro por la ESP,RAUL ARTURO ECHEVERRI DELGADO,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,ANDES,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DEL MUNICIPIO DE ANDES,,ANTIOQUIA,ANDES,CARRERA 49 47 - 31,8415248,acueductoandes@gmaill.com,Registro por la ESP,ALBERTO LEON RIVERA ORTIZ,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,ANDES,ASEO,OPERATIVA,CORPORACIÓN GRUPASSO,,ANTIOQUIA,ANDES,CR 50   N 46 - 13,8414127,corgrupasso@outlook.com,Registro por la ESP,MARIBEL RESTREPO CONTRERAS ,ORGANIZACION AUTORIZADA,MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,ANGELOPOLIS,ASEO,OPERATIVA,JUNTA DE SERVICIOS PUBLICOS DEL MUNICIPIO DE ANGELOPOLIS,,ANTIOQUIA,ANGELOPOLIS,Calle 10 Palacio Municipal,8421793,serviciospublicosangelopolis@gmail.com,Registro por la ESP,JAIME ALBERTO GOMEZ GOMEZ,MUNICIPIO (PRESTACIÓN DIRECTA),HASTA 2500 SUSCRIPTORES
ANTIOQUIA,ANGELOPOLIS,ALCANTARILLADO,OPERATIVA,JUNTA DE SERVICIOS PUBLICOS DEL MUNICIPIO DE ANGELOPOLIS,,ANTIOQUIA,ANGELOPOLIS,Calle 10 Palacio Municipal,8421793,serviciospublicosangelopolis@gmail.com,Registro por la ESP,JAIME ALBERTO GOMEZ GOMEZ,MUNICIPIO (PRESTACIÓN DIRECTA),HASTA 2500 SUSCRIPTORES
